Date,Close,High,Low,Open,Volume,SMA_50,SMA_200,EMA_12,EMA_26,MACD,Signal,RSI,SMA_20,BB_Upper,BB_Lower,L14,H14,%K,%D,High-Low,High-Close,Low-Close,True Range,ATR,OBV,News_Sentiment
2022-12-23,130.344482421875,130.89804371107982,128.14999653723166,129.41528379353238,63814900,142.4032568359375,150.0232949066162,135.1945782485076,138.80737132486536,-3.6127930763577463,-2.5188228363374376,26.26164041536337,139.04433517456056,150.49689630035817,127.59177404876294,128.14999653723166,148.24634516014598,10.91982392279929,16.161717359783776,2.748047173848164,0.1878233741657595,2.5602237996824044,2.748047173848164,4.338838140609519,-212210100,0.0
2022-12-27,128.5355224609375,129.8996665067436,127.24058112280676,129.87001251300126,69007800,142.2427066040039,149.90465858459473,134.17010812734298,138.04649363124108,-3.876385503898092,-2.7903353698495685,27.960296933044265,138.34298858642578,150.57956649546057,126.10641067739098,127.24058112280676,148.24634516014598,6.164695251109322,9.403825445256984,2.6590853839368123,0.4448159151314144,3.103901299068226,3.103901299068226,4.180676053873671,-281217900,0.0
2022-12-28,124.59137725830078,129.52402325835672,124.42333294025542,128.17965363057965,85438400,141.9237321472168,149.78652378082276,132.69645722441342,137.0498183443566,-4.353361119943173,-3.1029405198682896,26.152347460698596,137.59518241882324,151.2657995342695,123.924565303377,124.42333294025542,148.24634516014598,0.7053865249584249,5.929968566289023,5.1006903181013,0.9885007974192206,4.11218952068208,5.1006903181013,4.307063723580447,-366656300,0.0
2022-12-29,128.12033081054688,128.9803266572618,126.2619412657852,126.51894753125764,75703700,141.64888870239258,149.664040184021,131.99243777612625,136.38837482333363,-4.395937047207383,-3.3615398253361084,30.302078524093982,136.68476676940918,150.33166540096835,123.03786813785,124.42333294025542,148.24634516014598,15.518599562525232,7.4628937795310035,2.718385391476588,4.388949398961017,1.6705640074844297,4.388949398961017,4.438392304243047,-290952600,0.0
2022-12-30,128.43666076660156,128.45643512279935,125.9654017030859,126.9341415306844,77034200,141.37820083618163,149.52099697113036,131.4453951592763,135.7993589672794,-4.353963808003101,-3.560024621869507,31.430307842887245,135.77632942199708,149.05660144138224,122.49605740261192,124.42333294025542,148.24634516014598,16.846433142601626,11.023473076695105,2.491033419713446,0.3361043122524734,2.1549291074609727,2.491033419713446,4.286584777911118,-213918400,0.0
2023-01-03,123.6325225830078,129.39551044224086,122.74286511723292,128.7826411649236,112117500,141.02070663452147,149.34886516571044,130.2434147629273,134.89811182770373,-4.654697064776428,-3.778959110450892,22.616962259173576,134.652396774292,148.054165916777,121.25062763180698,122.74286511723292,148.24634516014598,3.488376740127424,11.951136481751435,6.652645325007953,0.9588496756393,5.693795649368653,6.652645325007953,4.518883327374012,-326035900,0.0
2023-01-04,124.90770721435548,127.18127564102066,123.64241984503865,125.43161455867812,89113600,140.61213500976564,149.1665769958496,129.42253667853163,134.1580818563446,-4.7355451778129805,-3.9702763239233096,23.28766266117776,133.650545501709,146.80619590887673,120.49489509454126,122.74286511723292,144.97440162134333,9.737707947558736,10.02417261009594,3.5388557959820304,3.548753058012849,0.0098972620308188,3.548753058012849,4.367784335496351,-236922300,0.0
2023-01-05,123.5831069946289,126.30150047855705,123.32610067708713,125.66885678017948,80962700,140.1340446472168,148.97077770233153,128.52416288100812,133.3747503851064,-4.850587504098286,-4.146338559958305,23.902418390209945,132.76632652282714,146.14176801313732,119.39088503251698,122.74286511723292,140.17024039649047,4.821390851368517,6.015825179684903,2.9753998014699192,1.393793264201577,1.5816065372683423,2.9753998014699192,4.191970960477502,-317885000,0.0
2023-01-06,128.13021850585938,128.79251610668766,123.45458659001618,124.56171667837158,87754700,139.68985488891602,148.7807880783081,128.46355605406217,132.98626654219922,-4.522710488137051,-4.221612945594054,39.49294785205931,132.2068302154541,145.36231183968894,119.05134859121922,122.74286511723292,136.06792995299983,40.43022270151749,18.329773833481596,5.33792951667148,5.209409112058751,0.128520404612729,5.33792951667148,4.0662871140698496,-230130300,0.0
2023-01-09,128.65414428710938,131.87668586554148,128.3971379685157,128.97047367930062,70790800,139.31515884399414,148.5865789413452,128.4928773206848,132.66536859737775,-4.172491276692938,-4.211788611813831,43.03070514601489,131.58901329040526,144.15086140506395,119.02716517574656,122.74286511723292,135.23757319201226,47.31026234486676,30.853958632584263,3.479547897025782,3.7464673596821,0.2669194626563183,3.7464673596821,4.057110201684152,-159339500,0.0
2023-01-10,129.22747802734375,129.75138537718297,126.647474909861,128.76287866678214,63896200,139.04173416137695,148.37624423980714,128.60589281401695,132.4107100366345,-3.804817222617544,-4.130394333974574,47.24093174095823,131.02408256530762,142.89064471773813,119.15752041287712,122.74286511723292,135.23757319201226,51.89887487392429,46.54645330676953,3.103910467321981,1.0972410900735952,2.006669377248386,3.103910467321981,4.004861273574463,-95443300,0.0
2023-01-11,131.9557647705078,131.9755240444425,128.9605906771462,129.74150433319187,69458900,138.6069480895996,148.17635272979737,129.12125773040017,132.3770103872918,-3.255752656891616,-3.9554659985579823,51.83589031857375,130.48040351867675,140.9881922902357,119.9726147471178,122.74286511723292,135.23757319201226,73.73441298027485,57.64785006635531,3.014933367296294,2.748046017098744,0.2668873501975497,3.014933367296294,3.9829720430117175,-25984400,0.0
